"","artist","song","text"
"11","Ray Charles","I Can't Stop Loving You","(I can't stop loving you)  
I've made up my mind  
To live in memory of the lonesome times  
(I can't stop wanting you)  
It's useless to say  
So I'll just live my life in dreams of yesterday  
(Dreams of yesterday)  
  
Those happy hours that we once knew  
Tho' long ago, they still make me blue  
They say that time heals a broken heart  
But time has stood still since we've been apart  
  
(I can't stop loving you)  
I've made up my mind  
To live in memories of the lonesome times  
(I can't stop wanting you)  
It's useless to say  
So I'll just live my life in dreams of yesterday  
  
(Those happy hours)  
Those happy hours  
(That we once knew)  
That we once knew  
(Tho' long ago)  
Tho' long ago  
(Still make me blue)  
Still ma-a-a-ake me blue  
(They say that time)  
They say that time  
(Heals a broken heart)  
Heals a broken heart  
(But time has stood still)  
Time has stood still  
(Since we've been apart)  
Since we've been apart  
  
(I can't stop loving you)  
I said I made up my mind  
To live in memory of the lonesome times  
  
(I can't stop wanting you)  
It's useless to say  
So I'll just live my life of dreams of yesterday  
(Of yesterday)

"
"12","Iron Maiden","Black Bart Blues","'What the fuck is that?'  
'Hi, guys, are you in a band or something?  
I mean it would be so cool  
If you were in a band 'cause you're  
Driving a big bus with band on the front of it'  
'Why don't you shut up and get on board will ya?'  
'Wow! I have it here you got a stereo and a microwave  
And, and you got a beer,  
I'd like a Heineken if you've got one'  
That's real cool, that's great, yeah!'  
'Would you like to see Black Bart?'  
'Who's Black Bart?'  
'Let me introduce you'  
  
Black Bart's seen it  
Black Bart knows  
Black Bart's done it  
The Black Bart blues  
Suspended in suspension  
Medieval nights in Tennessee, and elsewhere  
We all got to try the Black Bart blues  
  
Black Bart's truckin' ain't what it seems  
Black Bart's lookin'  
Don't know where she's been  
Maybe she's an acrobat  
Spends her evenings dancing on a pole  
We all got to try the Black Bart blues  
  
Black Bart tried most anything  
Black Bart liked it but he couldn't sing  
So he asked me to tell ya  
Try it for yourself and you will see  
We all got to try the Black Bart blues  
  
'What did you do that for?'  
'I'm sorry, I just, I guess I'm not used to...  
'Shut up and get on with it will you'  
  
Black Bart's livin' across the ocean now  
Black Bart's lookin' to come back somehow  
So if you are a dancer,  
You could dance his pole in May  
That's a maypole  
  
Black Bart's coming  
Now Black Bart's gone  
Black Bart did it so I wrote this song  
Whatever and however,  
In and out or several at a time mmm yes!  
We all got to do the Black Bart blues  
Here comes the guitar solo  
  
We all got to try the Black Bart blues  
Yowsa! Yowsa! Yowsa!

"
"13","Louis Armstrong","Blue Again","Blue again  
Blue again  
And you know darn well  
It's you again  
You said last night  
We were through again  
And now, I'm blue again  
  
I'm alone again  
Alone again  
I'm out around on my own again  
There's a mockingbird that's flown again  
And I'm alone again  
  
Now baby, though I said I hate you  
I love you more every day, babe  
Though I aggravate you  
All that I'm dying to say  
Is that it's new again  
You again  
And we'll meet today at half past two again  
And tonight, we'll fight  
Again  
And I'll be blue again

"
"14","Guided By Voices","Planet Score","You could have gotten to know  
In the tinted snow  
And let the coast emotions  
That I haven't seen in some months  
  
The hidden spirit  
Will make the mount to ghost town  
Slow down! To the planet scope  
And if you promised to turn up  
  
You're just not here anymore  
And let the spectators abolish  
Until the buildings form beyond  
You only need us to be us  
  
And make the best of downtown  
Till we run town  
Let the planet scope  
Let the records score

"
"15","Diana Ross","Experience","See me loving you  
A fool without a lover  
How can that possibly be  
Maybe you can show me why  
I shiver when you're closer  
I remember your touch without it  
Let me drown in your ecstasy  
It's got to be do or die  
  
Don't tell me love is just one night  
I know it's not true  
There should be someone there to catch you  
When the rain falls  
And you can turn away my heaven  
And maybe I was wrong  
I depended on the inner voice of  
  
Experience, or just imagination  
Whatever you believe in, you can lose  
And one way or the other, we can find  
Another world we can run away to  
I'm living for the  
Experience, is only what you make it  
You live forever but you never know  
That somebody loves you  
And when the sky is open  
Fly away lovers can share  
I'll be there  
  
And you can make the earth move  
You can take me with no struggle  
Lead me through your mystical dreams  
Show me what you are  
And we can make the wind blow  
You're the power and I'm in it  
You can be the fire I start  
I want your heart  
  
And let there be a story when the stories are told  
I need to hear you say you love me when the night falls  
We may never go to heaven but one thing that is sure  
You can not ignore  
I'll make it more than  
  
Experience is not imagination  
You get what you believe in if you choose  
Somebody loves you  
I couldn't get no higher  
Fly away lovers can share  
And we'll be there  
  
Experience is not imagination  
You get what you believe in if you choose  
And one way or the other  
We can find another world we can run away to  
And I love you  
Experience is only what you make it  
You come together when you let yourself go  
And somebody loves you  
I couldn't get no higher  
Fly away lovers can share  
And we'll be there  
  
(Repeat last verse and fade)

"
"16","Foo Fighters","Overdrive","Every now I'm running out  
This time I think I'm breaking up  
Come on down, we'll take this town  
Tonight before it turns to dust  
  
You change and then  
You change again  
Turning like the wheels inside your head  
  
Every now I'm drifting out  
This time it keeps on sinking us  
Come on down, we'll take this town  
Tonight before it turns to dust  
  
You change and then  
You change again  
Turning like the wheels inside your head  
  
Overdrive, I'm going life or death  
Overdrive, I'm going life or death  
Overdrive, I'm going life or death  
Keep hanging by a thread  
  
There's a lie, I think you'll find  
It's locked inside of everyone  
You and I get on with life  
Pray we'll find a better one  
  
You change and then  
You change again  
Turning like the wheels inside your head  
  
Overdrive, I'm going life or death  
Overdrive, I'm going life or death  
Overdrive, I'm going life or death  
Keep hanging by a thread  
  
You change and then  
You change again  
Turning like the wheels inside your head  
  
Every now I'm drifting out  
This time I think it's sinking us  
Come on down, we'll take this town  
Tonight before it turns to dust  
  
You change and then  
You change again  
Turning like the wheels inside your head  
  
Overdrive, I'm going life or death  
Overdrive, I'm going life or death  
Overdrive, I'm going life or death  
Keep hanging  
Keep hanging  
You keep hanging  
By a thread

"
"17","Ray Boltz","The Gift","For them there were no presents  
Around the Christmas tree  
No flashing lights unless you count  
The lamp across the street  
A fire in a barrel  
No chimney and no roof  
To most of them Santa Claus  
Was the man who made the soup  
  
In an alley was a mother  
Two children by her side  
Trying hard to keep the spark  
Of true Christmas alive  
She said we may not have some things  
That other people do  
But Christmas is for everyone  
And were Gods children too  
  
Oh and Jesus loves you  
And so do I  
Think about the baby  
And the star up in the sky  
I don't think Santa's comin'  
Cause he don't know where we live  
But who needs Christmas presents  
We already have the gift  
  
Well early Christmas morning  
While they were still asleep  
I packed a box of food and clothes  
And walked back to their street  
Imagine my surprise  
When I saw presents all around  
Blankets, toys and winter coats  
Beside them on the ground  
And the card I read from Santa said  
Inside the three of you  
The real heart of Christmas  
Is still beating strong and true  
  
Oh and Jesus loves you  
And so do I  
Think about the baby  
And the star up in the sky  
Santa Claus is comin  
Cause he know where real faith lives  
But who needs Christmas presents  
We already have the gift  
Who needs Christmas presents  
We already have the gift  
Who needs Christmas presents  
We already have the gift

"
"18","Kiss","Because I'm A Girl","I just can't understand the ways  
Of all the men and their mistakes  
You give them all your heart  
And then they rip it all away  
  
You told me how much you loved me  
And how our love was meant to be  
And I believed in you  
I thought that you would set me free  
  
(Refrain):  
You should've just told me the truth  
That I wasn't the girl for you  
Still, I didn't have a clue  
So my heart depended on you, whoa  
  
[Chorus:]:  
Although I'll say I hate you now  
Though I'll shout and curse you out  
I'll always have love for you  
Because I am a girl  
  
Been told a man will leave you cold  
Get sick of you and bored  
I know that it's no lie  
I gave my all, still I just cry  
  
Never again will I be fooled  
To give my all when nothing's true  
I won't be played again  
But I will fall in love again  
  
(Refrain)  
  
[Chorus:]  
  
Been told a man will leave you cold  
Get sick of you and bored  
I know that it's no lie  
I gave my all, still I just cry  
  
Never again will I be fooled  
To give my all when nothing's true  
I won't be played again  
But I will fall in love again  
  
You took advantage of my willingness  
To do anything for love  
Now I'm the only one in pain  
Will you please take it all away  
  
Never thought being born a girl  
How I can love you and be burned  
And now I will build a wall  
To never get torn again  
  
[Chorus:] [2x]

"
"19","John Legend","Each Day Gets Better","Where do we go, who knows?  
But each day gets better, I just can't let her go  
Oh no Each kiss gets sweeter I just can't leave her oh no  
  
I'll write a song I've thought about it for far too long  
But I've never had someone to sing about until I met her  
Each day gets better  
  
Nobody knows, nobody sees, nobody understands me like she  
Now that I know what true love means, I just hope she stays with me  
  
Where do we go, who knows?  
But each day gets better, I just can't let her go  
Oh no Each kiss gets sweeter I just can't leave her  
  
She wants to breathe,  
She wants to be where the grass is green  
She wants to know how love's supposed to be  
She wants it better,  
I want to let her know she belongs right here with me  
She's heard it all but I'll make her see  
I'll make her fall, make her believe  
I'll promise her that I'll never leave  
  
Where do we go, who knows?  
But each day gets better, I just can't let her go  
Oh no Each kiss gets sweeter I just can't leave her  
  
I just had to write a song about her  
Tell her I don't wanna live without her  
Tell her I would build my world around her  
Deeper and deeper, sweeter and sweeter  
I'll never leave her alone  
  
Where do we go, who knows?  
But each day gets better, I just can't let her go  
Oh no Each kiss gets sweeter I just can't leave her, no

"
"20","Lea Salonga","A Long, Long Time Ago","(odette quesada)  
  
We used to be one  
I can remember when our hearts were very young  
You said our love would be forever  
But that was such a long, long time ago  
A long, long time ago  
Time and again  
I still remember day after day  
When you'd hold me close to you  
But they are just a part of yesterday  
Such a long, long time ago  
Why did it ever have to be this way?  
You promised me the moon, the sun, the stars above  
How come you suddenly ceased to look my way?  
Tell me the truth that you are certain of  
Look at me now  
The girl you once loved  
Look at me now  
Grown up but still in love with you  
Although it's such a long, long time ago  
Such a long, long time ago  
Why did it ever have to be this way?  
You promised me the moon, the sun, the stars above  
How come you suddenly ceased to look my way?  
Tell me the truth that you are certain of  
Look at me now  
The girl you once loved  
Look at me now  
Grown up but still in love with you  
Although it's such a long, long time ago  
Such a long, long time ago  

"
"21","Vybz Kartel","Good Inna Clothes","You nuh wear fraud, you original  
Latest come from abroad  
Through Federal Express  
Yourself go hard dear material girl  
Inna material world  
Thank the Lord for your serial  
Stacey Adams, when you modelling  
Steve Maddening  
First class, when yuh travelling  
Dem paddling, she do peanut juggling  
You Moet bubbling, you bread buttering  
Fendi leave dem stuttering  
  
You good inna your clothes  
Diamond inna you nose  
Continue mek di doughs  
Live in a bed of rose  
Dem gal deh life hard  
You rolling wid di pros  
And everybody knows  
You a di best a nuh suppose  
  
From she born she been suffering  
If a no fi MTV, she nuh si nuh foreign  
But u go foreign  
You have you ten year visa link  
You Gucci link, weh iced out a freezer link  
Tell a gal she's a chink, guess suit  
Wid di question sign it  
Motorist crash inna pedestrian  
Gucci chain caress di neck  
Gucci watch caress di hand  
And you nuh wear gal tings  
Cause yuh no tief and yuh no lesbian  
  
You good inna your clothes  
Diamond inna you nose  
Continue mek di doughs  
Live in a bed of rose  
Dem gal deh life hard  
You rolling wid di pros  
And everybody knows  
You a di best a nuh suppose  
  
Girlfien you cuter, Dan Celine Dion  
When you walk people ask you  
If you mix wid Indian  
You nuh just pretty  
You pretty from modelling began  
Personality and cute face  
And tight hole  
You use win di man, gal a tackle you  
Like Zinadine Zidan  
Wid grey boot purple blouse  
Black bobbles and green ribbon, tell a gal  
Your war wickeder dan Bounty and Beenie Man  
Anyhow she dis, she get di Heineken  
You holding between you hand  
  
You good inna your clothes  
Diamond inna you nose  
Continue mek di doughs  
Live in a bed of rose  
Dem gal deh life hard  
You rolling wid di pros  
And everybody knows  
You a di best a nuh suppose

"
"22","Maroon 5","The Man Who Never Lied","In the middle of Hollywood Boulevard  
Screaming at each other, screaming at each other  
Like oh oh oh, can't take it anymore  
Like a tragedy, like a dark comedy  
Laughing at each other, laughing at each other  
Like, oh oh oh it isn't funny anymore  
  
I was the man who never lied  
I never lied until today  
But I just couldn't break your heart  
Like you did mine yesterday  
I was the man who never lied, oh  
I was the man who never lied, oh yeah  
  
Sometimes honesty is the worst policy  
Happy ever after, happy ever after  
Let it go, you never need to know  
I don't wanna be picking up all of these  
Tiny little pieces, tiny little pieces  
Of your heart, won't do it anymore  
  
I was the man who never lied  
I never lied until today  
But I just couldn't break your heart  
Like you did mine yesterday  
I was the man who never lied, oh  
I was the man who never lied, oh  
  
I was the  
Yeah, yeah, oh, oh  
  
In the middle of Hollywood Boulevard  
What am I doing in Hollywood Boulevard?  
In the middle of Hollywood Boulevard  
Screaming at each other, screaming  
  
I was the man who never lied  
I never lied until today  
But I just couldn't break your heart  
Like you did mine yesterday  
  
I was the man who never lied  
Never lied until today  
But I just couldn't break your heart  
Like you did mine yesterday  
I was the man who never lied, oh (oh I was the man)  
I was the man who never lied, oh yeah (I was the man oh yeah)

"
"23","Rolling Stones","Hey Negrita","Hey Negrita, hey now  
Move your body, move your mouth  
Shake lady, way down south  
Shake baby, in your home town  
  
Come si chiama, what's you game  
I'm just a poor man, what's your name  
Shake your body, do it up now  
Shake body, move it up now  
  
Hey Negrita, hey now  
Hey conchita, shake it up now  
Bate las caderas, do it up now  
  
Flash of gold in your ears, child  
Flash of gold in your eyes  
Saw the gleam in your mouth  
Saw the steel in your thighs  
Do it up now  
  
Bate las caderas, do it up now  
Just a momentita, not so fast  
I need money, my sweet ass  
Listen I'm a poor man  
My pay is low  
Here's one last dollar, then we go  
""One last dollar,"" she say ""I got my pride""  
Going to get your boss, boy  
Going to tan your hide  
  
Hey Negrita, hey now  
Hey Negrita, do it right now

"
"24","Britney Spears","For My Sister","Just yesterday  
You were looking up to me  
And, You would ask me  
What I thought  
  
But now I'm sitting here  
All alone with my tears  
Lookin' at my life  
That I've bought  
  
Where did I go? (yeah)  
My eyes, they will show  
  
And little me  
Please forgive me  
I couldn't see  
You hurting inside  
... Little me...  
... Little me...  
No more into you  
Little me oh no  
No ways ii must confess oh no  
No ways ii must confess oh no

"
"25","David Guetta","What I Did For Love","[Verse 1]  
Talking loud, talking crazy  
Locked me outside  
Praying for the rain to come  
Bone dry again  
Guess it's true what they say  
I'm always late  
Say you need a little space  
And I'm in your way  
  
[Pre-Chorus]  
It hurts, but I remember every scar  
And I've learnt that living is the hardest part  
I can't believe what I did for love  
I can't believe what I did for us, oh  
Crash and we burn into flames  
Stitch myself up and I'd do it again  
I can't believe what I did for love  
What I did for love  
  
[Chorus]  
What I did for love  
What I did for love  
What I did for love  
What I did for love  
  
[Verse 2]  
I'm a fool for your games  
But I'd always play  
Can't admit it was a waste  
Just too much at stake  
  
[Pre-Chorus]  
It hurts, but I remember every scar  
And I've learnt that living is the hardest part  
I can't believe what I did for love  
I can't believe what I did for us, oh  
Crash and we burn into flames  
Stitch myself up and I'd do it again  
I can't believe what I did for love  
What I did for love  
  
[Chorus]  
What I did for love  
What I did for love  
What I did for love  
What I did for love  
  
I can't believe what I did for love

"
"26","Nat King Cole","He'll Have To Go","Put your sweet lips a little closer to the phone  
Let's pretend that we're together all alone  
I'll tell the man to turn the jukebox way down low  
And you can tell your friend there with you he'll have to go  
  
Whisper to me, tell me do you love me true  
Or is he holding you the way I do?  
Though love is blind, make up your mind, I've got to know  
Should I hang up or will you tell him he'll have to go?  
  
You can't say the words I want to hear  
While you're with another man  
If you want me answer yes or no  
Darling, I will understand  
  
Put your sweet lips a little closer to the phone  
Let's pretend that we're together all alone  
I'll tell the man to turn the jukebox way down low  
And you can tell your friend there with you he'll have to go

"
"27","James Taylor","River","It's coming on Christmas  
They're cutting down trees  
They're putting up reindeer  
And singing songs of joy and peace  
Oh I wish I had a river  
I could skate away on  
But it don't snow here  
It stays pretty green  
I'm going to make a lot of money  
Then I'm going to quit this crazy scene  
I wish I had a river  
I could skate away on  
I wish I had a river so long  
I would teach my feet to fly  
Oh I wish I had a river  
I could skate away on  
I made my baby cry  
  
He tried hard to help me  
You know, he put me at ease  
And he loved me so naughty  
Made me weak in the knees  
Oh I wish I had a river  
I could skate away on  
I'm so hard to handle  
I'm selfish and I'm sad  
Now I've gone and lost the best baby  
That I ever had  
Oh I wish I had a river  
I could skate away on  
I wish I had a river so long  
I would teach my feet to fly  
Oh I wish I had a river  
I made my baby say goodbye  
  
It's coming on Christmas  
They're cutting down trees  
They're putting up reindeer  
And singing songs of joy and peace  
I wish I had a river  
I could skate away on

"
"28","Vanessa Williams","Security","Sometimes it's hard  
When I don't know where you going  
Or where you bin  
I got a broken heart  
Let me know you care for me  
My heart will ment  
  
Darlin' I can't wait forever  
You got to let me know  
Or let me go  
All I'm seein' is  
You can't keep playin' with  
A heart been love you so who know  
  
[Chorus:]  
Security  
That's what we need to keep our love strong  
Security  
Don't make me wait to long  
Security  
And gotta let me know if this is what you want  
Security  
Don't keep me hanging on  
  
I'm sure you know  
If you take the time to think about it  
You would realize hold it or not  
Do long ago are used to care around that's lover  
You're my only die  
Wecy bell you waits your situation  
That it check up your pryority  
You got to get to it straights your vesitation  
If what you want is me  
  
[Chorus: x2]  
  
Darlin' I can't wait forever  
You got to let me know  
Or let me go  
All I'm seein' is  
You can't keep playin' with  
A heart been love you so uh ho  
  
[Chorus: x2]  
  
Security  
I can't wait forever  
Tell me  
Security  
Are we gonna be together you got to let me know  
Hey hey  
Security  
Hey hey  
You know what I need  
Security don't keep me hanging on  
  
No baby no darling  
If you tell me that your lovin'  
Can't you show me what you need  
No baby you got to give to me uh

"
"29","Arrogant Worms","Steel Drivin' Man","Special guest vocalist, Mike's dad: Bob McCormick  
(Mike's dad appears courtesy of Mike's mom)  
There once was a time when the country was wide. A time before cars and planes
and minivans. So, to move things from one place to the other, the railroad was
built. But it just didn't up and build itself. Nope, it was built by the
railroad men. And among these men was a man among men among men among men
among men among men, a man as tall as the sky and as wide as the land. A man
who could lay track faster than anyone else could run. A man with the strength
of ten men. His name was John Henry, and I'm not gonna sing about him. No, I'm
gonna sing about a lesser know figure, one who doesn't deserve a song. A man
as lazy as a thousand men. A man who could barely raise his own body off the
ground. A man who was barely a man at all. His name was Mike McCormick.  
Mike McCormick was a steel drivin' man  
Who never really gave a damn  
Only thing he worked on was his tan  
Mike McCormick was a steel drivin' man  
He'd get up in the morning to hammer in them spikes  
Unless he'd been up drinking the previous night  
Or if his bones weren't feeling right  
Or if it looked like it was going to rain  
He had a tendency of being late for work  
And everyone around thought he was a jerk  
He'd take long breaks and say his back was hurt  
Then he'd have a drink to ease the pain  
Mike McCormick was a steel drivin' man  
Who never really gave a damn  
Only thing he worked on was his tan  
Mike McCormick was a steel drivin' man  
Mike's dad: Mike! Mike! Get up, Mike!  
Mike: What, what is it?  
Mike's dad: Get up, it's time to go to work.  
Mike: Awww, already?  
Mike's dad: Well, don't you want to hammer in them spikes?  
Mike: No.  
Mike's dad: Oh.  
His arms were like twigs and his legs were like straws  
His hands were like a baby's bum they were so soft  
He'd wheeze and moan and whine and cough  
Then go home and take a little nap  
He never got fired 'cause he was the boss' son  
He just hung around and bothered everyone  
Never drove a spike, not a single one  
Though now and then he'd give a tap  
Mike McCormick was a steel drivin' man  
Who never really gave a damn  
Only thing he worked on was his tan  
Mike McCormick was a steel drivin' man  
Mike's dad: Mike! Mike! MIKE!  
Mike: What? What is it?  
Mike's dad: They say they got a big machine that they say can drive in nails
faster than any man alive.  
Mike: Sounds like a good idea.  
Mike's dad: No! No! No!  
Mike: Yeah, it'll work faster.  
Mike's dad: You don't understand! You see, it's gonna cost us all our jobs.
You, Mike McCormick, gotta prove 'em wrong!  
Mike: Okay.  
So he took his hammer and hammered one time (Ow!)  
He took his hammer and hammered two times (Oh, jeez!)  
He took his hammer and hammered three times (Ohhh!)  
Then he got crushed by a meteor and died  
Mike McCormick was a steel drivin' man  
Who never really gave a damn  
Only thing he worked on was his tan  
Mike McCormick was a steel drivin' man  
Mike McCormick was a steel drivin' man (steel drivin' maaaan)  
  

"
